customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;num_orders;avg_order_value;cancel_rate;avg_rating;voucher_usage_rate;loyalty_tier;age;city_zone;inactive_days;Churn_food
7590-VHVEG;Female;0;1;0;1;0;No phone service;DSL;0;1;0;0;0;0;Month-to-month;1;Electronic check;2985;2985;0;3;239869;5;36;34;Bronze;31;Urban;59;1
5575-GNVDE;Male;0;0;0;34;1;0;DSL;1;0;1;0;0;0;One year;0;Mailed check;5695;18895;0;197;217521;14;48;64;Gold;47;Suburban;33;0
3668-QPYBK;Male;0;0;0;2;1;0;DSL;1;1;0;0;0;0;Month-to-month;1;Mailed check;5385;10815;1;9;212797;2;38;3;Bronze;48;Urban;58;1
7795-CFOCW;Male;0;0;0;45;0;No phone service;DSL;1;0;1;1;0;0;One year;0;Bank transfer (automatic);423;184075;0;197;161406;25;38;59;Silver;27;Urban;7;1
9237-HQITU;Female;0;0;0;2;1;0;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;707;15165;1;5;89304;14;38;28;Bronze;23;Urban;5;0
9305-CDSKC;Female;0;0;0;8;1;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Electronic check;9965;8205;1;20;205555;18;32;67;Silver;44;Rural;31;1
1452-KIOVK;Male;0;0;1;22;1;1;Fiber optic;0;1;0;0;1;0;Month-to-month;1;Credit card (automatic);891;19494;0;49;224735;8;50;14;Bronze;28;Rural;27;0
6713-OKOMC;Female;0;0;0;10;0;No phone service;DSL;1;0;0;0;0;0;Month-to-month;0;Mailed check;2975;3019;0;54;150320;19;33;74;Platinum;53;Urban;10;1
7892-POOKP;Female;0;1;0;28;1;1;Fiber optic;0;0;1;1;1;1;Month-to-month;1;Electronic check;1048;304605;1;123;174488;3;37;65;Bronze;27;Urban;27;1
6388-TABGU;Male;0;0;1;62;1;0;DSL;1;1;0;0;0;0;One year;0;Bank transfer (automatic);5615;348795;0;299;155591;1;36;97;Silver;33;Urban;31;0
9763-GRSKD;Male;0;1;1;13;1;0;DSL;1;0;0;0;0;0;Month-to-month;1;Mailed check;4995;58745;0;27;175044;27;31;91;Gold;41;Urban;40;1
7469-LKBCI;Male;0;0;0;16;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Credit card (automatic);1895;3268;0;94;223748;17;33;28;Silver;38;Urban;7;1
8091-TTVAX;Male;0;1;0;58;1;1;Fiber optic;0;0;1;0;1;1;One year;0;Credit card (automatic);10035;56811;0;309;105192;8;31;3;Silver;53;Urban;19;1
0280-XJGEX;Male;0;0;0;49;1;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Bank transfer (automatic);1037;50363;1;139;235794;29;36;66;Silver;40;Suburban;23;1
5129-JLPIS;Male;0;0;0;25;1;0;Fiber optic;1;0;1;1;1;1;Month-to-month;1;Electronic check;1055;268605;0;68;218518;15;47;6;Silver;38;Suburban;51;1
3655-SNQYZ;Female;0;1;1;69;1;1;Fiber optic;1;1;1;1;1;1;Two year;0;Credit card (automatic);11325;789515;0;188;199304;1;37;3;Gold;49;Urban;26;0
8191-XWSZG;Female;0;0;0;52;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;0;Mailed check;2065;102295;0;167;215797;5;32;12;Bronze;34;Suburban;46;1
9959-WOFKT;Male;0;0;1;71;1;1;Fiber optic;1;0;1;0;1;1;Two year;0;Bank transfer (automatic);1067;738225;0;291;168207;7;43;58;Gold;34;Urban;52;1
4190-MFLUW;Female;0;1;1;10;1;0;DSL;0;0;1;1;0;0;Month-to-month;0;Credit card (automatic);552;52835;1;37;153741;25;50;91;Silver;38;Urban;58;1
4183-MYFRB;Female;0;0;0;21;1;0;Fiber optic;0;1;1;0;0;1;Month-to-month;1;Electronic check;9005;18629;0;66;96365;18;35;91;Gold;21;Suburban;57;1
8779-QRDMV;Male;1;0;0;1;0;No phone service;DSL;0;0;1;0;0;1;Month-to-month;1;Electronic check;3965;3965;1;4;145792;27;36;15;Bronze;40;Urban;10;1
1680-VDCWW;Male;0;1;0;12;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;0;Bank transfer (automatic);198;20225;0;30;226776;7;49;38;Gold;42;Urban;46;1
1066-JKSGK;Male;0;0;0;1;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;2015;2015;1;3;130575;4;34;4;Bronze;49;Urban;22;1
3638-WEABW;Female;0;1;0;58;1;1;DSL;0;1;0;1;0;0;Two year;1;Credit card (automatic);599;35051;0;200;240974;0;40;47;Gold;23;Rural;21;0
6322-HRPFA;Male;0;1;1;49;1;0;DSL;1;1;0;1;0;0;Month-to-month;0;Credit card (automatic);596;29703;0;187;199641;15;35;75;Silver;31;Suburban;4;0
6865-JZNKO;Female;0;0;0;30;1;0;DSL;1;1;0;0;0;0;Month-to-month;1;Bank transfer (automatic);553;15306;0;154;212267;3;49;79;Silver;33;Urban;47;1
6467-CHFZW;Male;0;1;1;47;1;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Electronic check;9935;474915;1;131;133517;21;50;5;Silver;49;Suburban;33;1
8665-UTDHZ;Male;0;1;1;1;0;No phone service;DSL;0;1;0;0;0;0;Month-to-month;0;Electronic check;302;302;1;4;114012;9;46;1;Bronze;33;Urban;30;1
5248-YGIJN;Male;0;1;0;72;1;1;DSL;1;1;1;1;1;1;Two year;1;Credit card (automatic);9025;636945;0;314;222487;26;36;38;Silver;36;Rural;46;1
8773-HHUOZ;Female;0;0;1;17;1;0;DSL;0;0;0;0;1;1;Month-to-month;1;Mailed check;647;10931;1;37;101686;23;38;93;Bronze;54;Suburban;36;1
3841-NFECX;Female;1;1;0;71;1;1;Fiber optic;1;1;1;1;0;0;Two year;1;Credit card (automatic);9635;676695;0;314;239815;0;35;23;Silver;38;Urban;46;1
4929-XIHVW;Male;1;1;0;2;1;0;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Credit card (automatic);955;18165;0;5;112161;25;48;32;Gold;32;Suburban;25;1
6827-IEAUQ;Female;0;1;1;27;1;0;DSL;1;1;1;1;0;0;One year;0;Mailed check;6615;187445;0;61;82402;9;48;75;Bronze;43;Suburban;22;0
7310-EGVHZ;Male;0;0;0;1;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Bank transfer (automatic);202;202;0;5;143190;4;38;73;Silver;47;Suburban;42;0
3413-BMNZE;Male;1;0;0;1;1;0;DSL;0;0;0;0;0;0;Month-to-month;0;Bank transfer (automatic);4525;4525;0;5;93275;7;43;91;Silver;32;Suburban;37;0
6234-RAAPL;Female;0;1;1;72;1;1;Fiber optic;1;1;0;1;1;0;Two year;0;Bank transfer (automatic);999;72517;0;376;239254;14;33;39;Bronze;30;Urban;37;1
6047-YHPVI;Male;0;0;0;5;1;0;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;697;3169;1;16;94915;13;39;51;Platinum;44;Urban;31;0
6572-ADKRS;Female;0;0;0;46;1;0;Fiber optic;0;0;1;0;0;0;Month-to-month;1;Credit card (automatic);748;35483;0;109;80909;9;43;47;Silver;40;Urban;4;0
5380-WJKOV;Male;0;0;0;34;1;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Electronic check;10635;354925;1;161;194110;5;38;93;Bronze;51;Urban;24;0
8168-UQWWF;Female;0;0;0;11;1;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Bank transfer (automatic);9785;11054;1;41;145908;23;37;77;Bronze;51;Urban;32;1
8865-TNMNX;Male;0;1;1;10;1;0;DSL;0;1;0;0;0;0;One year;0;Mailed check;4955;4757;0;24;207337;3;30;83;Silver;40;Urban;51;1
9489-DEDVP;Female;0;1;1;70;1;1;DSL;1;1;0;0;1;0;Two year;1;Credit card (automatic);692;487235;0;278;102620;23;46;13;Bronze;37;Urban;6;1
9867-JCZSP;Female;0;1;1;17;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;0;Mailed check;2075;41825;0;36;114112;9;48;79;Bronze;26;Suburban;15;0
4671-VJLCL;Female;0;0;0;63;1;1;DSL;1;1;1;1;1;0;Two year;1;Credit card (automatic);7985;486145;0;355;82431;7;49;43;Bronze;37;Suburban;48;1
4080-IIARD;Female;0;1;0;13;1;1;DSL;1;1;0;1;1;0;Month-to-month;1;Electronic check;762;98145;0;39;166590;7;44;2;Silver;31;Urban;28;0
3714-NTNFO;Female;0;0;0;49;1;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Electronic check;845;39067;0;227;142175;4;41;6;Silver;43;Urban;59;1
5948-UJZLF;Male;0;0;0;2;1;0;DSL;0;1;0;0;0;0;Month-to-month;0;Mailed check;4925;970;0;6;197472;17;35;68;Bronze;44;Urban;58;1
7760-OYPDY;Female;0;0;0;2;1;0;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;8065;14415;1;8;112624;18;50;37;Silver;51;Suburban;14;0
7639-LIAYI;Male;0;0;0;52;1;1;DSL;1;0;0;1;1;1;Two year;1;Credit card (automatic);7975;42178;0;217;141264;21;42;87;Platinum;46;Urban;19;1
2954-PIBKO;Female;0;1;1;69;1;1;DSL;1;0;1;1;0;0;Two year;1;Credit card (automatic);6415;42541;0;189;193766;2;44;73;Platinum;49;Rural;21;0
8012-SOUDQ;Female;1;0;0;43;1;1;Fiber optic;0;1;0;0;1;0;Month-to-month;1;Electronic check;9025;383875;0;252;243030;9;44;2;Gold;22;Suburban;9;0
9420-LOJKX;Female;0;0;0;15;1;0;Fiber optic;1;1;0;0;1;1;Month-to-month;1;Credit card (automatic);991;14264;1;76;212767;1;47;69;Gold;21;Suburban;7;0
6575-SUVOI;Female;1;1;0;25;1;1;DSL;1;0;0;1;1;0;Month-to-month;1;Credit card (automatic);695;175265;0;143;180211;2;30;19;Bronze;40;Urban;54;1
7495-OOKFY;Female;1;1;0;8;1;1;Fiber optic;0;1;0;0;0;0;Month-to-month;1;Credit card (automatic);8065;6333;1;44;199502;1;34;42;Bronze;38;Urban;31;1
4667-QONEA;Female;1;1;1;60;1;0;DSL;1;1;1;1;0;1;One year;1;Credit card (automatic);7485;445635;0;263;124225;6;43;62;Silver;50;Rural;27;0
