customerID;gender;SeniorCitizen;Partner;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;num_orders;avg_order_value;cancel_rating;avg_rating;voucher_usage_rate;loyalty_tier;age;city_zone;inactive_days;Churn_food
7590-VHVEG;Female;0;1;0;No phone service;DSL;0;1;0;Month-to-month;1;Electronic check;2985;2985;3;239869;0,05;3,6;0,34;Bronze;31;Urban;59;1
5575-GNVDE;Male;0;0;1;0;DSL;1;0;1;One year;0;Mailed check;5695;18895;197;217521;0,14;4,8;0,64;Gold;47;Suburban;33;0
3668-QPYBK;Male;0;0;1;0;DSL;1;1;0;Month-to-month;1;Mailed check;5385;10815;9;212797;0,02;3,8;0,03;Bronze;48;Urban;58;1
7795-CFOCW;Male;0;0;0;No phone service;DSL;1;0;1;One year;0;Bank transfer (automatic);423;184075;197;161406;0,25;3,8;0,59;Silver;27;Urban;7;1
9237-HQITU;Female;0;0;1;0;Fiber optic;0;0;0;Month-to-month;1;Electronic check;707;15165;5;89304;0,14;3,8;0,28;Bronze;23;Urban;5;0
9305-CDSKC;Female;0;0;1;1;Fiber optic;0;0;1;Month-to-month;1;Electronic check;9965;8205;20;205555;0,18;3,2;0,67;Silver;44;Rural;31;1
1452-KIOVK;Male;0;0;1;1;Fiber optic;0;1;0;Month-to-month;1;Credit card (automatic);891;19494;49;224735;0,08;5;0,14;Bronze;28;Rural;27;0
6713-OKOMC;Female;0;0;0;No phone service;DSL;1;0;0;Month-to-month;0;Mailed check;2975;3019;54;150320;0,19;3,3;0,74;Platinum;53;Urban;10;1
7892-POOKP;Female;0;1;1;1;Fiber optic;0;0;1;Month-to-month;1;Electronic check;1048;304605;123;174488;0,03;3,7;0,65;Bronze;27;Urban;27;1
6388-TABGU;Male;0;0;1;0;DSL;1;1;0;One year;0;Bank transfer (automatic);5615;348795;299;155591;0,01;3,6;0,97;Silver;33;Urban;31;0
9763-GRSKD;Male;0;1;1;0;DSL;1;0;0;Month-to-month;1;Mailed check;4995;58745;27;175044;0,27;3,1;0,91;Gold;41;Urban;40;1
7469-LKBCI;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Two year;0;Credit card (automatic);1895;3268;94;223748;0,17;3,3;0,28;Silver;38;Urban;7;1
8091-TTVAX;Male;0;1;1;1;Fiber optic;0;0;1;One year;0;Credit card (automatic);10035;56811;309;105192;0,08;3,1;0,03;Silver;53;Urban;19;1
